Timestamp;Distance (mm);Distance (pixels);Left Point;Right Point
0.04;671.0;24.306046083683796;387;1058
0.08;674.0007418393543;24.41474380265933;387;1061
0.12;672.0;24.342269699307767;387;1059
0.16;674.0007418393543;24.41474380265933;387;1061
0.2;674.0;24.414716930555706;387;1061
0.24;670.0;24.269822468059825;387;1057
0.28;671.0;24.306046083683796;387;1058
0.32;672.0007440472071;24.342296651387805;387;1059
0.36;672.0;24.342269699307767;387;1059
0.4;672.0;24.342269699307767;387;1059
0.44;674.0007418393543;24.41474380265933;387;1061
0.48;674.0007418393543;24.41474380265933;387;1061
0.52;671.0;24.306046083683796;387;1058
0.56;674.0007418393543;24.41474380265933;387;1061
0.6;675.0007407403343;24.45096737847282;387;1062
0.64;674.0;24.414716930555706;387;1061
0.68;671.0;24.306046083683796;387;1058
0.72;672.0;24.342269699307767;387;1059
0.76;669.0;24.233598852435858;387;1056
0.8;675.0007407403343;24.45096737847282;387;1062
0.84;670.0;24.269822468059825;387;1057
0.88;674.0007418393543;24.41474380265933;387;1061
0.92;670.0;24.269822468059825;387;1057
0.96;670.0;24.269822468059825;387;1057
1.0;674.0007418393543;24.41474380265933;387;1061
1.04;674.0007418393543;24.41474380265933;387;1061
1.08;670.0;24.269822468059825;387;1057
1.12;670.0;24.269822468059825;387;1057
1.16;671.0;24.306046083683796;387;1058
1.2;669.0;24.233598852435858;387;1056
1.24;670.0;24.269822468059825;387;1057
1.28;674.0007418393543;24.41474380265933;387;1061
1.32;669.0;24.233598852435858;387;1056
1.36;672.0007440472071;24.342296651387805;387;1059
1.4;672.0;24.342269699307767;387;1059
1.44;671.0;24.306046083683796;387;1058
1.48;671.0;24.306046083683796;387;1058
1.52;673.0007429416404;24.37852022696415;387;1060
1.56;685.0007299266184;24.813203143000635;375;1060
1.6;686.0;24.849400318043344;375;1061
1.64;689.0007256890227;24.958097451995474;375;1064
1.68;689.0007256890227;24.958097451995474;375;1064
1.72;691.0007235886226;25.030544607159328;374;1065
1.76;691.0;25.030518396163195;374;1065
1.8;699.0;25.320307321154953;374;1073
1.84;700.0007142853499;25.356556810776883;374;1074
1.88;701.0;25.39275455240289;375;1076
1.92;705.0007092195015;25.537674705393385;374;1079
1.96;717.0006973497307;25.97235766291501;362;1079
2.0;718.0;26.00855601801038;362;1080
2.04;718.0;26.00855601801038;362;1080
2.08;719.0;26.044779633634352;362;1081
2.12;719.0;26.044779633634352;362;1081
2.16;720.0006944441095;26.081028404534816;362;1082
2.2;721.0006934809425;26.11725198526939;361;1082
2.24;720.0;26.08100324925832;362;1082
2.28;719.0;26.044779633634352;362;1081
2.32;719.0;26.044779633634352;362;1081
2.36;719.0;26.044779633634352;362;1081
2.4;719.0;26.044779633634352;362;1081
2.44;720.0;26.08100324925832;362;1082
2.48;719.0;26.044779633634352;362;1081
2.52;720.0;26.08100324925832;362;1082
2.56;720.0;26.08100324925832;362;1082
2.6;719.0;26.044779633634352;362;1081
2.64;721.0;26.11722686488229;360;1081
2.68;720.0;26.08100324925832;361;1081
2.72;721.0;26.11722686488229;361;1082
2.76;720.0;26.08100324925832;361;1081
2.8;720.0;26.08100324925832;362;1082
2.84;721.0;26.11722686488229;361;1082
2.88;721.0;26.11722686488229;361;1082
2.92;720.0;26.08100324925832;362;1082
2.96;719.0;26.044779633634352;362;1081
3.0;721.0;26.11722686488229;361;1082
3.04;720.0;26.08100324925832;361;1081
3.08;720.0;26.08100324925832;362;1082
3.12;719.0;26.044779633634352;362;1081
3.16;719.0;26.044779633634352;362;1081
3.2;720.0;26.08100324925832;361;1081
3.24;721.0;26.11722686488229;361;1082
3.28;720.0;26.08100324925832;362;1082
3.32;720.0;26.08100324925832;361;1081
3.36;722.0;26.15345048050626;360;1082
3.4;720.0;26.08100324925832;361;1081
3.44;724.0;26.2258977117542;358;1082
3.48;720.0;26.08100324925832;361;1081
3.52;723.0;26.18967409613023;358;1081
3.56;724.0;26.2258977117542;358;1082
3.6;720.0;26.08100324925832;362;1082
3.64;719.0;26.044779633634352;362;1081
3.68;720.0;26.08100324925832;362;1082
3.72;720.0;26.08100324925832;362;1082
3.76;720.0;26.08100324925832;362;1082
3.8;720.0;26.08100324925832;362;1082
3.84;720.0;26.08100324925832;362;1082
3.88;726.0006887049075;26.298369890383988;361;1087
