   ________________________________________________________________________________

                               Parametric study: press2
   ________________________________________________________________________________

              C10,            D1,             h,         VDISP,         FORCE,
      1.83333e+06,         5e-07,     0.0004743,     0.0004743,       529.298,
            2e+06,         5e-07,     0.0004743,     0.0004743,       567.459,
      2.16667e+06,         5e-07,     0.0004743,     0.0004743,       603.924,
      2.33333e+06,         5e-07,     0.0004743,     0.0004743,       639.765,
          2.5e+06,         5e-07,     0.0004743,     0.0004743,       674.858,
          1.5e+06,       7.5e-07,     0.0004743,     0.0004743,        414.63,
      1.66667e+06,       7.5e-07,     0.0004743,     0.0004743,       449.905,
      1.83333e+06,       7.5e-07,     0.0004743,     0.0004743,       484.124,
            2e+06,       7.5e-07,     0.0004743,     0.0004743,       517.406,
      2.16667e+06,       7.5e-07,     0.0004743,     0.0004743,       548.739,
      2.33333e+06,       7.5e-07,     0.0004743,     0.0004743,       579.113,
          2.5e+06,       7.5e-07,     0.0004743,     0.0004743,       608.287,
          1.5e+06,         1e-06,     0.0004743,     0.0004743,       388.055,
      1.66667e+06,         1e-06,     0.0004743,     0.0004743,       419.213,
      1.83333e+06,         1e-06,     0.0004743,     0.0004743,       448.901,
            2e+06,         1e-06,     0.0004743,     0.0004743,       477.322,
      2.16667e+06,         1e-06,     0.0004743,     0.0004743,       504.077,
      2.33333e+06,         1e-06,     0.0004743,     0.0004743,       529.859,
          2.5e+06,         1e-06,     0.0004743,     0.0004743,        554.76,
          1.5e+06,      1.25e-06,     0.0004743,     0.0004743,       364.972,
      1.66667e+06,      1.25e-06,     0.0004743,     0.0004743,       392.661,
      1.83333e+06,      1.25e-06,     0.0004743,     0.0004743,       418.801,
            2e+06,      1.25e-06,     0.0004743,     0.0004743,       443.808,
      2.16667e+06,      1.25e-06,     0.0004743,     0.0004743,       467.851,
      2.33333e+06,      1.25e-06,     0.0004743,     0.0004743,       491.003,
          2.5e+06,      1.25e-06,     0.0004743,     0.0004743,       512.414,
          1.5e+06,       1.5e-06,     0.0004743,     0.0004743,       344.725,
      1.66667e+06,       1.5e-06,     0.0004743,     0.0004743,        369.84,
      1.83333e+06,       1.5e-06,     0.0004743,     0.0004743,       393.792,
            2e+06,       1.5e-06,     0.0004743,     0.0004743,       416.622,
      2.16667e+06,       1.5e-06,     0.0004743,     0.0004743,       437.156,
      2.33333e+06,       1.5e-06,     0.0004743,     0.0004743,       456.839,
          2.5e+06,       1.5e-06,     0.0004743,     0.0004743,        475.65,
          1.5e+06,         5e-07,      0.000472,      0.000472,        448.24,
      1.66667e+06,         5e-07,      0.000472,      0.000472,       488.216,
      1.83333e+06,         5e-07,      0.000472,      0.000472,       527.213,
            2e+06,         5e-07,      0.000472,      0.000472,        565.18,
      2.16667e+06,         5e-07,      0.000472,      0.000472,       601.508,
      2.33333e+06,         5e-07,      0.000472,      0.000472,        637.25,
          2.5e+06,         5e-07,      0.000472,      0.000472,       672.185,
          1.5e+06,       7.5e-07,      0.000472,      0.000472,       412.983,
      1.66667e+06,       7.5e-07,      0.000472,      0.000472,       448.123,
      1.83333e+06,       7.5e-07,      0.000472,      0.000472,       482.201,
            2e+06,       7.5e-07,      0.000472,      0.000472,       515.354,
      2.16667e+06,       7.5e-07,      0.000472,      0.000472,       546.324,
      2.33333e+06,       7.5e-07,      0.000472,      0.000472,       576.511,
          2.5e+06,       7.5e-07,      0.000472,      0.000472,       605.914,
          1.5e+06,         1e-06,      0.000472,      0.000472,       386.516,
      1.66667e+06,         1e-06,      0.000472,      0.000472,       417.347,
      1.83333e+06,         1e-06,      0.000472,      0.000472,        447.15,
            2e+06,         1e-06,      0.000472,      0.000472,       475.379,
      2.16667e+06,         1e-06,      0.000472,      0.000472,       501.988,
      2.33333e+06,         1e-06,      0.000472,      0.000472,       527.637,
          2.5e+06,         1e-06,      0.000472,      0.000472,       552.397,
          1.5e+06,      1.25e-06,      0.000472,      0.000472,       363.548,
      1.66667e+06,      1.25e-06,      0.000472,      0.000472,       391.048,
      1.83333e+06,      1.25e-06,      0.000472,      0.000472,       417.048,
            2e+06,      1.25e-06,      0.000472,      0.000472,       441.918,
      2.16667e+06,      1.25e-06,      0.000472,      0.000472,       465.969,
      2.33333e+06,      1.25e-06,      0.000472,      0.000472,       489.016,
          2.5e+06,      1.25e-06,      0.000472,      0.000472,       510.285,
          1.5e+06,       1.5e-06,      0.000472,      0.000472,       343.284,
      1.66667e+06,       1.5e-06,      0.000472,      0.000472,       368.265,
      1.83333e+06,       1.5e-06,      0.000472,      0.000472,       392.205,
            2e+06,       1.5e-06,      0.000472,      0.000472,       414.895,
      2.16667e+06,       1.5e-06,      0.000472,      0.000472,       435.335,
      2.33333e+06,       1.5e-06,      0.000472,      0.000472,       454.849,
          2.5e+06,       1.5e-06,      0.000472,      0.000472,       473.618,
   ________________________________________________________________________________

