   ________________________________________________________________________________

                               Parametric study: press2
   ________________________________________________________________________________

              C10,            D1,             h,         VDISP,         FORCE,
          1.5e+06,       7.5e-07,     0.0002577,     0.0002577,        256.85,
      1.66667e+06,       7.5e-07,     0.0002577,     0.0002577,       278.755,
      1.83333e+06,       7.5e-07,     0.0002577,     0.0002577,       299.914,
            2e+06,       7.5e-07,     0.0002577,     0.0002577,        320.32,
      2.16667e+06,       7.5e-07,     0.0002577,     0.0002577,        339.13,
      2.33333e+06,       7.5e-07,     0.0002577,     0.0002577,       357.179,
          2.5e+06,       7.5e-07,     0.0002577,     0.0002577,        374.58,
          1.5e+06,         1e-06,     0.0002577,     0.0002577,        240.24,
      1.66667e+06,         1e-06,     0.0002577,     0.0002577,       258.917,
      1.83333e+06,         1e-06,     0.0002577,     0.0002577,       276.637,
            2e+06,         1e-06,     0.0002577,     0.0002577,       293.035,
      2.16667e+06,         1e-06,     0.0002577,     0.0002577,       308.138,
      2.33333e+06,         1e-06,     0.0002577,     0.0002577,        322.46,
          2.5e+06,         1e-06,     0.0002577,     0.0002577,       336.088,
          1.5e+06,      1.25e-06,     0.0002577,     0.0002577,       224.748,
      1.66667e+06,      1.25e-06,     0.0002577,     0.0002577,       240.549,
      1.83333e+06,      1.25e-06,     0.0002577,     0.0002577,       255.158,
            2e+06,      1.25e-06,     0.0002577,     0.0002577,       268.871,
      2.16667e+06,      1.25e-06,     0.0002577,     0.0002577,       281.792,
      2.33333e+06,      1.25e-06,     0.0002577,     0.0002577,       294.008,
          2.5e+06,      1.25e-06,     0.0002577,     0.0002577,        305.59,
          1.5e+06,       1.5e-06,     0.0002577,     0.0002577,        210.26,
      1.66667e+06,       1.5e-06,     0.0002577,     0.0002577,       224.059,
      1.83333e+06,       1.5e-06,     0.0002577,     0.0002577,       236.908,
            2e+06,       1.5e-06,     0.0002577,     0.0002577,       248.927,
      2.16667e+06,       1.5e-06,     0.0002577,     0.0002577,       260.284,
      2.33333e+06,       1.5e-06,     0.0002577,     0.0002577,        270.94,
          2.5e+06,       1.5e-06,     0.0002577,     0.0002577,       281.023,
          1.5e+06,         5e-07,     0.0003069,     0.0003069,        317.03,
      1.66667e+06,         5e-07,     0.0003069,     0.0003069,       345.682,
      1.83333e+06,         5e-07,     0.0003069,     0.0003069,       373.606,
            2e+06,         5e-07,     0.0003069,     0.0003069,       400.837,
      2.16667e+06,         5e-07,     0.0003069,     0.0003069,       426.749,
      2.33333e+06,         5e-07,     0.0003069,     0.0003069,       452.203,
          2.5e+06,         5e-07,     0.0003069,     0.0003069,       477.059,
          1.5e+06,       7.5e-07,     0.0003069,     0.0003069,       293.026,
      1.66667e+06,       7.5e-07,     0.0003069,     0.0003069,       318.039,
      1.83333e+06,       7.5e-07,     0.0003069,     0.0003069,       342.226,
            2e+06,       7.5e-07,     0.0003069,     0.0003069,       365.625,
      2.16667e+06,       7.5e-07,     0.0003069,     0.0003069,       387.313,
      2.33333e+06,       7.5e-07,     0.0003069,     0.0003069,       408.197,
          2.5e+06,       7.5e-07,     0.0003069,     0.0003069,       428.399,
          1.5e+06,         1e-06,     0.0003069,     0.0003069,       274.219,
      1.66667e+06,         1e-06,     0.0003069,     0.0003069,       295.765,
      1.83333e+06,         1e-06,     0.0003069,     0.0003069,       316.304,
            2e+06,         1e-06,     0.0003069,     0.0003069,       335.442,
      2.16667e+06,         1e-06,     0.0003069,     0.0003069,       353.219,
      2.33333e+06,         1e-06,     0.0003069,     0.0003069,       370.166,
          2.5e+06,         1e-06,     0.0003069,     0.0003069,       386.365,
          1.5e+06,      1.25e-06,     0.0003069,     0.0003069,       257.039,
      1.66667e+06,      1.25e-06,     0.0003069,     0.0003069,       275.551,
      1.83333e+06,      1.25e-06,     0.0003069,     0.0003069,       292.801,
            2e+06,      1.25e-06,     0.0003069,     0.0003069,       309.092,
      2.16667e+06,      1.25e-06,     0.0003069,     0.0003069,       324.531,
      2.33333e+06,      1.25e-06,     0.0003069,     0.0003069,       339.203,
          2.5e+06,      1.25e-06,     0.0003069,     0.0003069,       353.189,
          1.5e+06,       1.5e-06,     0.0003069,     0.0003069,       241.193,
      1.66667e+06,       1.5e-06,     0.0003069,     0.0003069,       257.577,
      1.83333e+06,       1.5e-06,     0.0003069,     0.0003069,       272.936,
            2e+06,       1.5e-06,     0.0003069,     0.0003069,       287.398,
      2.16667e+06,       1.5e-06,     0.0003069,     0.0003069,       300.937,
      2.33333e+06,       1.5e-06,     0.0003069,     0.0003069,       313.496,
          2.5e+06,       1.5e-06,     0.0003069,     0.0003069,       325.416,
          1.5e+06,         5e-07,     0.0003287,     0.0003287,       334.543,
      1.66667e+06,         5e-07,     0.0003287,     0.0003287,        364.73,
      1.83333e+06,         5e-07,     0.0003287,     0.0003287,       394.135,
            2e+06,         5e-07,     0.0003287,     0.0003287,         422.8,
      2.16667e+06,         5e-07,     0.0003287,     0.0003287,       450.131,
      2.33333e+06,         5e-07,     0.0003287,     0.0003287,       476.969,
          2.5e+06,         5e-07,     0.0003287,     0.0003287,       503.186,
          1.5e+06,       7.5e-07,     0.0003287,     0.0003287,       309.075,
      1.66667e+06,       7.5e-07,     0.0003287,     0.0003287,       335.458,
      1.83333e+06,       7.5e-07,     0.0003287,     0.0003287,       360.995,
            2e+06,       7.5e-07,     0.0003287,     0.0003287,       385.798,
      2.16667e+06,       7.5e-07,     0.0003287,     0.0003287,       408.662,
      2.33333e+06,       7.5e-07,     0.0003287,     0.0003287,       430.807,
          2.5e+06,       7.5e-07,     0.0003287,     0.0003287,       452.248,
          1.5e+06,         1e-06,     0.0003287,     0.0003287,       289.348,
      1.66667e+06,         1e-06,     0.0003287,     0.0003287,       312.094,
      1.83333e+06,         1e-06,     0.0003287,     0.0003287,        333.88,
            2e+06,         1e-06,     0.0003287,     0.0003287,       354.292,
      2.16667e+06,         1e-06,     0.0003287,     0.0003287,       373.261,
      2.33333e+06,         1e-06,     0.0003287,     0.0003287,       391.384,
          2.5e+06,         1e-06,     0.0003287,     0.0003287,       408.741,
          1.5e+06,      1.25e-06,     0.0003287,     0.0003287,       271.349,
      1.66667e+06,      1.25e-06,     0.0003287,     0.0003287,       291.109,
      1.83333e+06,      1.25e-06,     0.0003287,     0.0003287,       309.543,
            2e+06,      1.25e-06,     0.0003287,     0.0003287,       326.993,
